Title,Description,Reference,Category,Applicability,Status,Verification,Author,Reviewer,Parent,Justification
RM-CACHE-0001 Caching and performance telemetry,Marreq shall implement the caching and performance telemetry feature set. Acceptance: the related routes and services are present and usable.,RM-CACHE-0001,Performance,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/repository/cache; src/api/cache.rs
RM-LOG-0001 Audit logging,Marreq shall implement the audit logging feature set. Acceptance: the related routes and services are present and usable.,RM-LOG-0001,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/logger; src/services/log_service.rs
RM-UI-0001 Web UI pages and templates,Marreq shall implement the web ui pages and templates feature set. Acceptance: the related routes and services are present and usable.,RM-UI-0001,User Interface,All Users,Draft,System Test,System Administrator,Alice Johnson,RM-SYS-0001 Marreq shall provide requirements and test management,Trace: src/routes/html; templates
RM-AUTH-0002 SessionUser guard shall reject missing session cookie,The system shall return HTTP 401 Unauthorized when a protected route is accessed without a valid session cookie. Acceptance: missing/invalid session cookie yields 401.,RM-AUTH-0002,Authentication,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (SessionUser)
RM-AUTH-0003 SessionUser guard shall clear invalid session cookie,The system shall clear the session cookie when the cookie contains a user id that no longer exists. Acceptance: request with stale session cookie returns 401 and the response clears the session cookie.,RM-AUTH-0003,Authentication,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (SessionUser); src/auth/mod.rs
RM-AUTH-0004 AdminOnly guard shall forbid non-admin users,The system shall return HTTP 403 Forbidden when a non-admin user accesses an admin-only route. Acceptance: non-admin users receive 403 for routes guarded by AdminOnly.,RM-AUTH-0004,Authentication,Administrators,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (AdminOnly)
RM-AUTH-0005 ApiUser guard shall provide logging context,The system shall attach request logging context (IP/user agent) when resolving ApiUser. Acceptance: ApiUser creates a LogCtx from the request.,RM-AUTH-0005,Authentication,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (ApiUser); src/logger
RM-AUTH-0006 ProjectAccess guard shall parse project_id from route,The system shall parse the <project_id> path segment when applying ProjectAccess. Acceptance: invalid/missing project id yields HTTP 400 Bad Request.,RM-AUTH-0006,Authentication,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (ProjectAccess)
RM-AUTH-0007 ProjectAccess shall allow admins to access any project,The system shall allow admin users to access any project-scoped HTML/API route guarded by ProjectAccess. Acceptance: admin user passes ProjectAccess without project membership.,RM-AUTH-0007,Authentication,Administrators,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (ProjectAccess)
RM-AUTH-0008 ProjectAccess shall forbid non-members,The system shall return HTTP 403 Forbidden when a non-admin user accesses a project-scoped route for a project they are not a member of. Acceptance: non-member receives 403.,RM-AUTH-0008,Authentication,All Users,Draft,Unit Test,System Administrator,Alice Johnson,RM-AUTH-0001 Authentication and session management,Trace: src/auth/guards.rs (ProjectAccess); src/repository/mod.rs (ProjectMembersRepository)
RM-API-0002 GET /api/requirements endpoint shall exist,The system shall expose the GET /api/requirements endpoint. Acceptance: requests to /api/requirements using HTTP GET are routed and do not return HTTP 404.,RM-API-0002,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0003 GET /api/requirements shall require a valid session,"The system shall reject unauthenticated calls to GET /api/requirements. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0003,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs; src/auth/guards.rs
RM-API-0004 GET /api/requirements shall return HTTP 200 with a JSON array of Requirement objects,The system shall respond to successful GET /api/requirements requests with HTTP 200 and a JSON array of Requirement objects. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0004,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0005 GET /api/requirements/<id> endpoint shall exist,The system shall expose the GET /api/requirements/<id> endpoint. Acceptance: requests to /api/requirements/<id> using HTTP GET are routed and do not return HTTP 404.,RM-API-0005,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0006 GET /api/requirements/<id> shall require a valid session,"The system shall reject unauthenticated calls to GET /api/requirements/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0006,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs; src/auth/guards.rs
RM-API-0007 GET /api/requirements/<id> shall return HTTP 200 with a JSON Requirement object,The system shall respond to successful GET /api/requirements/<id> requests with HTTP 200 and a JSON Requirement object. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0007,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0008 POST /api/requirements endpoint shall exist,The system shall expose the POST /api/requirements endpoint. Acceptance: requests to /api/requirements using HTTP POST are routed and do not return HTTP 404.,RM-API-0008,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0009 POST /api/requirements shall require a valid session,"The system shall reject unauthenticated calls to POST /api/requirements. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0009,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs; src/auth/guards.rs
"RM-API-0010 POST /api/requirements shall return HTTP 200 with a JSON object {status:""ok"", id:<int>}","The system shall respond to successful POST /api/requirements requests with HTTP 200 and a JSON object {status:""ok"", id:<int>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0010,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0011 DELETE /api/requirements/<id> endpoint shall exist,The system shall expose the DELETE /api/requirements/<id> endpoint. Acceptance: requests to /api/requirements/<id> using HTTP DELETE are routed and do not return HTTP 404.,RM-API-0011,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0012 DELETE /api/requirements/<id> shall require a valid session,"The system shall reject unauthenticated calls to DELETE /api/requirements/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0012,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs; src/auth/guards.rs
RM-API-0013 DELETE /api/requirements/<id> shall return HTTP 204 with an empty response body,The system shall respond to successful DELETE /api/requirements/<id> requests with HTTP 204 and an empty response body. Acceptance: the HTTP response code is 204 and the body matches the documented JSON shape.,RM-API-0013,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0014 PATCH /api/requirements/<id> endpoint shall exist,The system shall expose the PATCH /api/requirements/<id> endpoint. Acceptance: requests to /api/requirements/<id> using HTTP PATCH are routed and do not return HTTP 404.,RM-API-0014,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0015 PATCH /api/requirements/<id> shall require a valid session,"The system shall reject unauthenticated calls to PATCH /api/requirements/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0015,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs; src/auth/guards.rs
"RM-API-0016 PATCH /api/requirements/<id> shall return HTTP 200 with a JSON object {success:true, message:<string>}","The system shall respond to successful PATCH /api/requirements/<id> requests with HTTP 200 and a JSON object {success:true, message:<string>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0016,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/requirements.rs
RM-API-0017 GET /api/tests endpoint shall exist,The system shall expose the GET /api/tests endpoint. Acceptance: requests to /api/tests using HTTP GET are routed and do not return HTTP 404.,RM-API-0017,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0018 GET /api/tests shall require a valid session,"The system shall reject unauthenticated calls to GET /api/tests. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0018,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs; src/auth/guards.rs
RM-API-0019 GET /api/tests shall return HTTP 200 with a JSON array of TestCase objects,The system shall respond to successful GET /api/tests requests with HTTP 200 and a JSON array of TestCase objects. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0019,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0020 GET /api/tests/<id> endpoint shall exist,The system shall expose the GET /api/tests/<id> endpoint. Acceptance: requests to /api/tests/<id> using HTTP GET are routed and do not return HTTP 404.,RM-API-0020,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0021 GET /api/tests/<id> shall require a valid session,"The system shall reject unauthenticated calls to GET /api/tests/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0021,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs; src/auth/guards.rs
RM-API-0022 GET /api/tests/<id> shall return HTTP 200 with a JSON TestCase object,The system shall respond to successful GET /api/tests/<id> requests with HTTP 200 and a JSON TestCase object. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0022,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0023 POST /api/tests endpoint shall exist,The system shall expose the POST /api/tests endpoint. Acceptance: requests to /api/tests using HTTP POST are routed and do not return HTTP 404.,RM-API-0023,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0024 POST /api/tests shall require a valid session,"The system shall reject unauthenticated calls to POST /api/tests. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0024,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs; src/auth/guards.rs
"RM-API-0025 POST /api/tests shall return HTTP 200 with a JSON object {status:""ok"", id:<int>}","The system shall respond to successful POST /api/tests requests with HTTP 200 and a JSON object {status:""ok"", id:<int>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0025,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0026 DELETE /api/tests/<id> endpoint shall exist,The system shall expose the DELETE /api/tests/<id> endpoint. Acceptance: requests to /api/tests/<id> using HTTP DELETE are routed and do not return HTTP 404.,RM-API-0026,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0027 DELETE /api/tests/<id> shall require a valid session,"The system shall reject unauthenticated calls to DELETE /api/tests/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0027,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs; src/auth/guards.rs
RM-API-0028 DELETE /api/tests/<id> shall return HTTP 204 with an empty response body,The system shall respond to successful DELETE /api/tests/<id> requests with HTTP 204 and an empty response body. Acceptance: the HTTP response code is 204 and the body matches the documented JSON shape.,RM-API-0028,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0029 POST /api/tests/<id>/field endpoint shall exist,The system shall expose the POST /api/tests/<id>/field endpoint. Acceptance: requests to /api/tests/<id>/field using HTTP POST are routed and do not return HTTP 404.,RM-API-0029,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0030 POST /api/tests/<id>/field shall require a valid session,"The system shall reject unauthenticated calls to POST /api/tests/<id>/field. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0030,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs; src/auth/guards.rs
"RM-API-0031 POST /api/tests/<id>/field shall return HTTP 200 with a JSON object {success:true, message:<string>}","The system shall respond to successful POST /api/tests/<id>/field requests with HTTP 200 and a JSON object {success:true, message:<string>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0031,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/tests.rs
RM-API-0032 GET /api/categories endpoint shall exist,The system shall expose the GET /api/categories endpoint. Acceptance: requests to /api/categories using HTTP GET are routed and do not return HTTP 404.,RM-API-0032,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0033 GET /api/categories shall require a valid session,"The system shall reject unauthenticated calls to GET /api/categories. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0033,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs; src/auth/guards.rs
RM-API-0034 GET /api/categories shall return HTTP 200 with a JSON array of Category objects,The system shall respond to successful GET /api/categories requests with HTTP 200 and a JSON array of Category objects. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0034,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0035 GET /api/categories/<id> endpoint shall exist,The system shall expose the GET /api/categories/<id> endpoint. Acceptance: requests to /api/categories/<id> using HTTP GET are routed and do not return HTTP 404.,RM-API-0035,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0036 GET /api/categories/<id> shall require a valid session,"The system shall reject unauthenticated calls to GET /api/categories/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0036,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs; src/auth/guards.rs
RM-API-0037 GET /api/categories/<id> shall return HTTP 200 with a JSON Category object,The system shall respond to successful GET /api/categories/<id> requests with HTTP 200 and a JSON Category object. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0037,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0038 POST /api/categories endpoint shall exist,The system shall expose the POST /api/categories endpoint. Acceptance: requests to /api/categories using HTTP POST are routed and do not return HTTP 404.,RM-API-0038,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0039 POST /api/categories shall require a valid session,"The system shall reject unauthenticated calls to POST /api/categories. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0039,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs; src/auth/guards.rs
"RM-API-0040 POST /api/categories shall return HTTP 200 with a JSON object {status:""ok"", id:<int>}","The system shall respond to successful POST /api/categories requests with HTTP 200 and a JSON object {status:""ok"", id:<int>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0040,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0041 PUT /api/categories/<id> endpoint shall exist,The system shall expose the PUT /api/categories/<id> endpoint. Acceptance: requests to /api/categories/<id> using HTTP PUT are routed and do not return HTTP 404.,RM-API-0041,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0042 PUT /api/categories/<id> shall require a valid session,"The system shall reject unauthenticated calls to PUT /api/categories/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0042,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs; src/auth/guards.rs
"RM-API-0043 PUT /api/categories/<id> shall return HTTP 200 with a JSON object {status:""ok"", message:<string>}","The system shall respond to successful PUT /api/categories/<id> requests with HTTP 200 and a JSON object {status:""ok"", message:<string>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0043,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0044 DELETE /api/categories/<id> endpoint shall exist,The system shall expose the DELETE /api/categories/<id> endpoint. Acceptance: requests to /api/categories/<id> using HTTP DELETE are routed and do not return HTTP 404.,RM-API-0044,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0045 DELETE /api/categories/<id> shall require a valid session,"The system shall reject unauthenticated calls to DELETE /api/categories/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0045,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs; src/auth/guards.rs
RM-API-0046 DELETE /api/categories/<id> shall return HTTP 204 with an empty response body,The system shall respond to successful DELETE /api/categories/<id> requests with HTTP 204 and an empty response body. Acceptance: the HTTP response code is 204 and the body matches the documented JSON shape.,RM-API-0046,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/categories.rs
RM-API-0047 GET /api/applicability endpoint shall exist,The system shall expose the GET /api/applicability endpoint. Acceptance: requests to /api/applicability using HTTP GET are routed and do not return HTTP 404.,RM-API-0047,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0048 GET /api/applicability shall require a valid session,"The system shall reject unauthenticated calls to GET /api/applicability. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0048,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs; src/auth/guards.rs
RM-API-0049 GET /api/applicability shall return HTTP 200 with a JSON array of Applicability objects,The system shall respond to successful GET /api/applicability requests with HTTP 200 and a JSON array of Applicability objects. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0049,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0050 GET /api/applicability/<id> endpoint shall exist,The system shall expose the GET /api/applicability/<id> endpoint. Acceptance: requests to /api/applicability/<id> using HTTP GET are routed and do not return HTTP 404.,RM-API-0050,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0051 GET /api/applicability/<id> shall require a valid session,"The system shall reject unauthenticated calls to GET /api/applicability/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0051,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs; src/auth/guards.rs
RM-API-0052 GET /api/applicability/<id> shall return HTTP 200 with a JSON Applicability object,The system shall respond to successful GET /api/applicability/<id> requests with HTTP 200 and a JSON Applicability object. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0052,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0053 POST /api/applicability endpoint shall exist,The system shall expose the POST /api/applicability endpoint. Acceptance: requests to /api/applicability using HTTP POST are routed and do not return HTTP 404.,RM-API-0053,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0054 POST /api/applicability shall require a valid session,"The system shall reject unauthenticated calls to POST /api/applicability. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0054,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs; src/auth/guards.rs
"RM-API-0055 POST /api/applicability shall return HTTP 200 with a JSON object {status:""ok"", id:<int>}","The system shall respond to successful POST /api/applicability requests with HTTP 200 and a JSON object {status:""ok"", id:<int>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0055,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0056 PUT /api/applicability/<id> endpoint shall exist,The system shall expose the PUT /api/applicability/<id> endpoint. Acceptance: requests to /api/applicability/<id> using HTTP PUT are routed and do not return HTTP 404.,RM-API-0056,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0057 PUT /api/applicability/<id> shall require a valid session,"The system shall reject unauthenticated calls to PUT /api/applicability/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0057,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs; src/auth/guards.rs
"RM-API-0058 PUT /api/applicability/<id> shall return HTTP 200 with a JSON object {status:""ok"", message:<string>}","The system shall respond to successful PUT /api/applicability/<id> requests with HTTP 200 and a JSON object {status:""ok"", message:<string>}. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.",RM-API-0058,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0059 DELETE /api/applicability/<id> endpoint shall exist,The system shall expose the DELETE /api/applicability/<id> endpoint. Acceptance: requests to /api/applicability/<id> using HTTP DELETE are routed and do not return HTTP 404.,RM-API-0059,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0060 DELETE /api/applicability/<id> shall require a valid session,"The system shall reject unauthenticated calls to DELETE /api/applicability/<id>. Acceptance: when no session cookie is provided, the response is HTTP 401 Unauthorized.",RM-API-0060,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs; src/auth/guards.rs
RM-API-0061 DELETE /api/applicability/<id> shall return HTTP 204 with an empty response body,The system shall respond to successful DELETE /api/applicability/<id> requests with HTTP 204 and an empty response body. Acceptance: the HTTP response code is 204 and the body matches the documented JSON shape.,RM-API-0061,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/applicability.rs
RM-API-0062 GET /api/status endpoint shall exist,The system shall expose the GET /api/status endpoint. Acceptance: requests to /api/status using HTTP GET are routed and do not return HTTP 404.,RM-API-0062,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/status.rs
RM-API-0063 GET /api/status shall not require authentication,"The system shall allow unauthenticated clients to call GET /api/status. Acceptance: when no session cookie is provided, the response is HTTP 200.",RM-API-0063,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/status.rs
RM-API-0064 GET /api/status shall return HTTP 200 with a JSON array of RequirementStatus objects,The system shall respond to successful GET /api/status requests with HTTP 200 and a JSON array of RequirementStatus objects. Acceptance: the HTTP response code is 200 and the body matches the documented JSON shape.,RM-API-0064,Backend,All Users,Draft,Integration Test,System Administrator,Alice Johnson,RM-API-0001 REST API,Trace: src/api/status.rs
